"","osm_id","name","Block_number","City","Country","County","Housenumber","State","Postcode","Street","geometry"
"1308392615","1308392615","McDonald's",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.4952355, 40.5807173)
"1308405199","1308405199","Dunkin'",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.4760355, 40.5858011)
"1324529041","1324529041","Hoagie Haven",NA,NA,NA,NA,"242","NJ","08542","Nassau Street",c(-74.6518832, 40.3521568)
"1324536985","1324536985","George's Roasters and Ribs",NA,NA,NA,NA,"244","NJ","08542","Nassau Street",c(-74.6517479, 40.3522007)
"1350017628","1350017628","Bagels On the Hill",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.6687914, 40.9098116)
"1355621635","1355621635","Avenue Deli",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.4052973, 40.7062602)
"1370675814","1370675814","Panera Bread",NA,NA,NA,NA,"2311",NA,NA,"Concord Pike",c(-75.5460908, 39.7924974)
"1371378780","1371378780","Five Guys",NA,NA,NA,NA,"2217",NA,NA,"Concord Pike",c(-75.5458818, 39.7910793)
"1377239882","1377239882","Dunkin'",NA,"Budd Lake",NA,NA,"100","NJ","07828","Rt 46",c(-74.726299, 40.8870545)
"1377430469","1377430469","McDonald's",NA,NA,NA,NA,"85",NA,"10454","Bruckner Boulevard",c(-73.9256662, 40.8063321)
"1383909209","1383909209","Chipotle",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9828817, 40.7660008)
"1383917378","1383917378","Dunkin'",NA,"New York",NA,NA,"309","NY","10019","West 57th Street",c(-73.9833679, 40.7671142)
"1426190404","1426190404","McDonald's",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9804635, 40.7514749)
"1426215370","1426215370","Fresh Kitchen",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9804514, 40.7509562)
"1426965679","1426965679","Dunkin' Donuts",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.3398893, 39.6036545)
"1427212548","1427212548","food exchange",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9792587, 40.7525447)
"1427265080","1427265080","Blake & Todd",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9772122, 40.7543276)
"1427273513","1427273513","Pret A Manger",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9751098, 40.7524627)
"1427285993","1427285993","Pret A Manger",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9767577, 40.7509775)
"1427286041","1427286041","Delmonico Gourmet Market",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9762726, 40.7508482)
"1427286094","1427286094","Subway",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9772877, 40.7508618)
"1427286096","1427286096","Previti pizza",NA,NA,NA,NA,"123",NA,"10168","East 41st Street",c(-73.9769024, 40.7510468)
"1427499828","1427499828","4food",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9803061, 40.7517125)
"1427499831","1427499831","Chipotle",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9806977, 40.7511837)
"1427521090","1427521090","Burger King",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9831807, 40.7499023)
"1428036307","1428036307","Subway",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9806791, 40.7523865)
"1428185702","1428185702","Subway",NA,NA,NA,NA,NA,NA,NA,NA,c(-73.9839912, 40.7467357)
"1428185705","1428185705","Hill Country Chicken",NA,"New York",NA,NA,"1123","NY","10010","Broadway",c(-73.9892796, 40.7432333)
"1428427555","1428427555","Pret A Manger",NA,"New York",NA,NA,"425",NA,"10017","Madison Avenue",c(-73.9760656, 40.7569369)
"1437163107","1437163107","Jersey Mike's Subs",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.2302672, 40.155212)
"1474652211","1474652211","Wendy's",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.6122349, 39.435195)
"1475238097","1475238097","McDonald's",NA,NA,NA,NA,NA,NA,NA,NA,c(-75.1560736, 39.9852356)
"1475456149","1475456149","KFC",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.5357937, 39.3931329)
"1475456157","1475456157","Taco Bell",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.5375989, 39.3938377)
"1479237275","1479237275","Dunkin'",NA,NA,NA,NA,NA,NA,NA,NA,c(-75.1589597, 39.9787144)
"1484267765","1484267765","Burger King",NA,"Holmes",NA,NA,"501","PA","19043","Macdade Boulevard",c(-75.3021064, 39.9002796)
"1486022413","1486022413","Wendy's",NA,NA,NA,NA,"1708",NA,"19121","Broad Street",c(-75.1580982, 39.9790933)
"1486029688","1486029688","Qdoba",NA,NA,NA,NA,"1600",NA,"19121","Broad Street",c(-75.1585024, 39.9785422)
"1486253335","1486253335","Master Wok",NA,NA,NA,NA,NA,NA,NA,"Liacouras Walk",c(-75.1559382, 39.9824649)
"1486276832","1486276832","Maxi's Pizza",NA,NA,NA,NA,NA,NA,NA,NA,c(-75.1559955, 39.9822686)
"1490065351","1490065351","Domino's",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.7995467, 40.208268)
"1490066754","1490066754","Dominicks Pizza",NA,NA,NA,NA,"382",NA,"19067","West Trenton Ave",c(-74.7984095, 40.2099067)
"1490067314","1490067314","Sports Pizza",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.8202105, 40.2009425)
"1552739108","1552739108","Burger King",NA,"Bloomsbury","US",NA,"975","NJ","08804","NJ 173",c(-75.0747993, 40.6594398)
"1586252889","1586252889","Smashburger",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.4048849, 40.7056356)
