"Name","Category","geometry"
"Baby Boss Concetta's Pizza","Fast Food",c(-75.0391987, 40.0287435)
"Fink's Hoagies","Fast Food",c(-75.0391021, 40.0285587)
"Boston Market","Fast Food",c(-75.0357011, 40.0302448)
"Richie's The Sandwhich Shop","Fast Food",c(-75.1533428, 39.9809367)
"Chipotle","Fast Food",c(-75.0919913, 39.840325)
"Five Guys","Fast Food",c(-75.0907071, 39.8403873)
"River Chicks Ice Cream","Fast Food",c(-74.818555, 39.5663059)
"Hank's","Fast Food",c(-75.1533627, 39.9808525)
"Dunkin'","Fast Food",c(-75.2942112, 40.0099367)
"Papa John's","Fast Food",c(-74.8111359, 39.8729146)
"Subway","Fast Food",c(-74.8124073, 39.8723464)
"Philly Pretzel Factory","Fast Food",c(-74.811431, 39.8728281)
"Checkers","Fast Food",c(-75.1511703, 40.0100601)
"Apex Pizza","Fast Food",c(-75.2427348, 40.0056445)
"McDonald's","Fast Food",c(-74.7951489, 40.2104994)
"Dunkin'","Fast Food",c(-74.7981493, 40.2090829)
"Burger King","Fast Food",c(-74.7966288, 40.2107094)
"Subway","Fast Food",c(-73.9958361, 40.7533686)
"Dunkin'","Fast Food",c(-74.2070645, 40.5428746)
"Philly Pretzel Factory","Fast Food",c(-75.0673783, 40.0521755)
"Scoops","Fast Food",c(-75.1250293, 39.9737497)
"Happy Tap Food Window","Fast Food",c(-75.1253511, 39.9737887)
"Lorenzo and Sons Pizza","Fast Food",c(-75.1478824, 39.941549)
"Dunkin' Donuts","Fast Food",c(-74.1692983, 40.8026891)
"Wendy's","Fast Food",c(-74.1701191, 40.8014384)
"Cabana Water Ice","Fast Food",c(-75.08812, 39.8810185)
"McDonald's","Fast Food",c(-73.98472, 40.7587753)
"McDonald's","Fast Food",c(-73.98375, 40.762234)
"McDonald's","Fast Food",c(-73.9418363, 40.8122296)
"Cinco de Mayo","Fast Food",c(-73.9742396, 40.7516663)
"Dunkin'","Fast Food",c(-73.9475023, 40.7903432)
"Jalapeño Deli","Fast Food",c(-73.9477583, 40.7899881)
"Lenny's Pizza","Fast Food",c(-73.9204708, 40.7414433)
"Qdoba","Fast Food",c(-74.5587614, 40.9073615)
"Maggie Moo's ice cream","Fast Food",c(-74.558595, 40.9073428)
"Wendy's","Fast Food",c(-75.1358669, 39.9906683)
"Checkers","Fast Food",c(-75.135668, 39.99121)
"McDonald's","Fast Food",c(-75.135305, 39.9911772)
"Popeyes","Fast Food",c(-75.1380663, 39.9915764)
"Burger King","Fast Food",c(-75.3609433, 40.4463584)
"Shake Shack","Fast Food",c(-73.9642844, 40.8079748)
"Dunkin'","Fast Food",c(-73.9681388, 40.792438)
"Subway","Fast Food",c(-73.9675455, 40.792394)
"Famous Famiglia","Fast Food",c(-73.9706474, 40.793996)
"Subway","Fast Food",c(-73.9726982, 40.7929104)
"Ollie's To Go","Fast Food",c(-73.9751569, 40.7904889)
"Len's Papaya","Fast Food",c(-74.0132881, 40.701252)
"Chipotle","Fast Food",c(-73.9716599, 40.7953466)
"Alphonso's Trattoria Pizzeria","Fast Food",c(-73.9816938, 40.7143362)
"Wing Hing","Fast Food",c(-73.9821592, 40.7144836)
"A-1 Pizza","Fast Food",c(-73.9823483, 40.7145456)
"Brooklyn Homeslice Pizzeria","Fast Food",c(-73.9675584, 40.6807282)
"McDonald's","Fast Food",c(-74.5934612, 40.3365878)
"Dunkin'","Fast Food",c(-74.3424442, 41.0046898)
"Bagel Place","Fast Food",c(-74.595167, 40.3371807)
"Dunkin'","Fast Food",c(-74.5427281, 40.5282408)
"Dunkin' Donuts","Fast Food",c(-74.0692539, 40.3501314)
"Village Pizza","Fast Food",c(-74.0031634, 40.7392445)
"Johnson's Popcorn","Fast Food",c(-74.580431, 39.27148)
"John's Lemonade","Fast Food",c(-74.579956, 39.271736)
"The Dog Shack","Fast Food",c(-74.57665, 39.273175)
"Chick-fil-A","Fast Food",c(-74.5012397, 40.4447331)
"Dunkin' Donuts","Fast Food",c(-74.4323656, 40.7457166)
"Cafe 28","Fast Food",c(-73.9871814, 40.7445)
"Chipotle","Fast Food",c(-73.99156, 40.7595189)
"Torico Ice Cream","Fast Food",c(-74.0441678, 40.7216894)
"Shake Shack","Fast Food",c(-73.9765216, 40.7808407)
"Oh Brother","Fast Food",c(-75.1441297, 39.9498086)
"McDonald's","Fast Food",c(-73.9889244, 40.7581196)
"Shake Shack","Fast Food",c(-73.9891712, 40.7584542)
"Subway","Fast Food",c(-73.9804954, 40.7645691)
"Burrito Box","Fast Food",c(-73.9856866, 40.7682759)
"Subway","Fast Food",c(-73.9914325, 40.7232599)
"McDonald's","Fast Food",c(-74.2856984, 40.5207304)
"KFC","Fast Food",c(-74.2830484, 40.5199026)
"Domino's","Fast Food",c(-74.28344, 40.5200372)
"Burger King","Fast Food",c(-74.2963315, 40.5237861)
"Subway","Fast Food",c(-74.2822464, 40.5207549)
"Dunkin' Donuts","Fast Food",c(-74.2867847, 40.5155166)
"Mont Clare Deli & Market","Fast Food",c(-75.5032699, 40.138097)
"Wendy's","Fast Food",c(-75.451882, 40.1808599)
